timestamp,command_name
2026-03-26 08:32:27,HTR-233_EP-01_XBS_SINK_HTR-ON
2026-03-26 08:45:33,HTR-233_EP-01_XBS_SINK_HTR-OFF
2026-03-26 08:53:01,HTR-041_EP-01_XPC_SINK_HTR-ON
2026-03-26 09:17:22,HTR-041_EP-01_XPC_SINK_HTR-OFF
2026-03-27 05:59:33,XSW-2_POS-1_SEL
2026-03-27 06:00:34,SSPA_M_RLY-1_SEL
2026-03-27 06:00:34,SSPA_M_RLY-2_SEL
2026-03-27 06:00:34,SSPA_M_RLY-3_SEL
2026-03-27 06:00:34,SSPA_M_RLY-4_SEL
2026-03-27 06:02:05,SSPA_M_DC-DC-1_ON
2026-03-27 06:02:51,SSPA_M_DC-DC-2_ON
2026-03-27 06:04:06,SSPA_M_DC-DC-3_ON
2026-03-27 06:05:19,SSPA_M_DC-DC-4_ON
2026-03-27 06:06:38,XBS-1_M_SEL_R_DESEL
2026-03-27 06:07:18,XBS-1_M_ON
2026-03-27 07:28:33,XBS-1_R_OFF
2026-03-27 07:28:33,XBS-1_M_OFF
2026-03-27 07:29:40,XBS-1_R_DESEL
2026-03-27 07:29:40,XBS-1_M_DESEL
2026-03-27 07:32:08,SSPA_M_DC-DC-2_OFF
2026-03-27 07:32:08,SSPA_M_DC-DC-4_OFF
2026-03-27 07:32:08,SSPA_M_DC-DC-3_OFF
2026-03-27 07:32:08,SSPA_M_DC-DC-1_OFF
2026-03-27 07:32:08,SSPA_R_DC-DC-4_OFF
2026-03-27 07:32:08,SSPA_R_DC-DC-3_OFF
2026-03-27 07:32:08,SSPA_R_DC-DC-2_OFF
2026-03-27 07:32:08,SSPA_R_DC-DC-1_OFF
2026-03-27 07:33:18,SSPA_R_RLY-1_DESEL
2026-03-27 07:33:18,SSPA_R_RLY-2_DESEL
2026-03-27 07:33:18,SSPA_R_RLY-3_DESEL
2026-03-27 07:33:20,SSPA_M_RLY-3_DESEL
2026-03-27 07:33:20,SSPA_M_RLY-4_DESEL
2026-03-27 07:33:20,SSPA_R_RLY-4_DESEL
2026-03-27 07:33:20,SSPA_M_RLY-1_DESEL
2026-03-27 07:58:52,XSW-2_POS-2_SEL
2026-03-27 07:59:23,SSPA_R_RLY-4_SEL
2026-03-27 07:59:23,SSPA_R_RLY-3_SEL
2026-03-27 07:59:23,SSPA_R_RLY-1_SEL
2026-03-27 07:59:23,SSPA_R_RLY-2_SEL
2026-03-27 08:01:17,SSPA_R_DC-DC-1_ON
2026-03-27 08:02:13,SSPA_R_DC-DC-2_ON
2026-03-27 08:02:58,SSPA_R_DC-DC-3_ON
2026-03-27 08:04:34,SSPA_R_DC-DC-4_ON
2026-03-27 08:05:37,XBS-1_R_SEL_M_DESEL
2026-03-27 08:06:17,XBS-1_R_ON
2026-03-27 10:25:26,XBS-1_R_OFF
2026-03-27 10:25:26,XBS-1_M_OFF
2026-03-27 10:25:51,XBS-1_R_DESEL
2026-03-27 10:25:53,XBS-1_M_DESEL
2026-03-27 10:26:29,SSPA_R_DC-DC-1_OFF
2026-03-27 10:26:29,SSPA_R_DC-DC-2_OFF
2026-03-27 10:26:29,SSPA_R_DC-DC-3_OFF
2026-03-27 10:26:30,SSPA_M_DC-DC-3_OFF
2026-03-27 10:26:30,SSPA_M_DC-DC-2_OFF
2026-03-27 10:26:30,SSPA_M_DC-DC-4_OFF
2026-03-27 10:26:30,SSPA_R_DC-DC-4_OFF
2026-03-27 10:26:30,SSPA_M_DC-DC-1_OFF
2026-03-27 10:27:06,SSPA_R_RLY-1_DESEL
2026-03-27 10:27:06,SSPA_R_RLY-2_DESEL
2026-03-27 10:27:06,SSPA_R_RLY-3_DESEL
2026-03-27 10:27:07,SSPA_M_RLY-3_DESEL
2026-03-27 10:27:07,SSPA_M_RLY-2_DESEL
2026-03-27 10:27:07,SSPA_M_RLY-4_DESEL
2026-03-27 10:27:07,SSPA_R_RLY-4_DESEL
2026-03-27 10:27:07,SSPA_M_RLY-1_DESEL
2026-03-30 08:01:03,XSW-2_POS-1_SEL
2026-03-30 08:01:36,SSPA_M_RLY-1_SEL
2026-03-30 08:01:38,SSPA_M_RLY-3_SEL
2026-03-30 08:01:38,SSPA_M_RLY-4_SEL
2026-03-30 08:01:38,SSPA_M_RLY-2_SEL
2026-03-30 08:02:58,SSPA_M_DC-DC-1_ON
2026-03-30 08:03:53,SSPA_M_DC-DC-2_ON
2026-03-30 08:04:31,SSPA_M_DC-DC-3_ON
2026-03-30 08:05:01,SSPA_M_DC-DC-4_ON
2026-03-30 08:05:55,XBS-1_M_SEL_R_DESEL
2026-03-30 08:06:28,XBS-1_M_ON
